Survived,Sex,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
0,1,0.49893523737943135,0,0,27.7208,1,0,0,1,0,0
1,0,0.36990000810545937,1,0,146.5208,1,0,0,1,0,0
1,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
0,1,0.824627333082801,0,0,10.5,0,1,0,0,0,1
0,1,0.3486158085932607,1,0,82.1708,1,0,0,1,0,0
0,1,0.5239884755104598,1,0,52.0,1,0,0,0,0,1
1,1,0.36990000810545937,0,0,7.2292,0,0,1,1,0,0
0,1,0.2609294751346612,0,0,8.05,0,0,1,0,0,1
0,0,0.22334961793811853,2,0,18.0,0,0,1,0,0,1
1,0,0.17324314167606164,1,0,11.2417,0,0,1,1,0,0
0,0,0.49893523737943135,1,0,9.475,0,0,1,0,0,1
0,0,0.33608918952774647,1,0,21.0,0,1,0,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,1,0,0
1,0,0.035450331955405236,1,2,41.5792,0,1,0,1,0,0
1,0,0.23587623700363275,0,0,7.8792,0,0,1,0,1,0
0,1,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
0,1,0.36990000810545937,1,0,15.5,0,0,1,0,1,0
1,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
0,1,0.36990000810545937,2,0,21.6792,0,0,1,1,0,0
0,0,0.22334961793811853,1,0,17.8,0,0,1,0,0,1
0,1,0.0855568082174621,4,1,39.6875,0,0,1,0,0,1
0,1,0.2609294751346612,0,0,7.8,0,0,1,0,0,1
1,0,0.6116748089690592,1,0,76.7292,1,0,0,1,0,0
1,0,0.3611424276587749,1,0,26.0,0,1,0,0,0,1
0,1,0.8121007140172868,0,1,61.9792,1,0,0,1,0,0
1,1,0.36990000810545937,0,0,35.5,1,0,0,0,0,1
1,0,0.2609294751346612,0,0,10.5,0,1,0,0,0,1
0,1,0.3548791181260178,0,0,7.2292,0,0,1,1,0,0
1,0,0.06050357008643368,1,2,27.75,0,1,0,0,0,1
0,1,0.135663284479519,5,2,46.9,0,0,1,0,0,1
0,1,0.2734560942001754,0,0,7.2292,0,0,1,1,0,0
1,0,0.4738819992484029,0,0,80.0,1,0,0,0,0,0
0,1,0.5615683327070025,1,0,83.475,1,0,0,0,0,1
0,1,0.04797695102091946,3,2,27.9,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,27.7208,1,0,0,1,0,0
1,1,0.36990000810545937,1,1,15.2458,0,0,1,1,0,0
1,0,0.3611424276587749,0,0,10.5,0,1,0,0,0,1
0,1,0.23587623700363275,0,0,8.1583,0,0,1,0,0,1
1,0,0.2108229988726043,4,2,7.925,0,0,1,0,0,1
0,1,0.32356257046223225,2,0,8.6625,0,0,1,0,0,1
0,1,0.3987222848553176,0,0,10.5,0,1,0,0,0,1
0,0,0.19829637980709008,5,2,46.9,0,0,1,0,0,1
0,1,0.2609294751346612,0,0,73.5,0,1,0,0,0,1
0,1,0.32356257046223225,1,0,14.4542,0,0,1,1,0,0
1,1,0.3987222848553176,0,0,56.4958,0,0,1,0,0,1
0,1,0.311035951396718,0,0,7.65,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
1,1,0.008267568583239383,0,2,29.0,0,1,0,0,0,1
1,0,0.37366904672428913,0,0,12.475,0,0,1,0,0,1
0,1,0.2734560942001754,0,0,9.0,0,0,1,0,0,1
1,1,0.3611424276587749,0,0,9.5,0,0,1,0,0,1
1,0,0.36990000810545937,0,0,7.7875,0,0,1,0,1,0
0,1,0.3486158085932607,0,0,47.1,1,0,0,0,0,1
1,0,0.2108229988726043,0,0,10.5,0,1,0,0,0,1
1,0,0.4112489039208318,3,0,15.85,0,0,1,0,0,1
0,1,0.19829637980709008,1,3,34.375,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
1,0,0.28598271326568964,3,2,263.0,1,0,0,0,0,1
0,1,0.2985093323312038,0,0,8.05,0,0,1,0,0,1
0,1,0.3611424276587749,0,0,8.05,0,0,1,0,0,1
0,1,0.24840285606914697,0,0,7.8542,0,0,1,0,0,1
0,1,0.5740949517725167,1,0,61.175,1,0,0,0,0,1
0,1,0.32356257046223225,1,2,20.575,0,0,1,0,0,1
0,1,0.7369409996242015,0,0,7.25,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
0,1,0.8872604284103721,0,0,34.6542,1,0,0,1,0,0
1,1,0.28598271326568964,0,1,63.3583,1,0,0,1,0,0
1,0,0.423775522986346,0,1,23.0,0,1,0,0,0,1
0,1,0.423775522986346,1,0,26.0,0,1,0,0,0,1
0,0,0.3486158085932607,0,0,7.8958,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
0,1,0.2609294751346612,0,1,77.2875,1,0,0,0,0,1
0,1,0.4112489039208318,0,0,8.6542,0,0,1,0,0,1
0,1,0.4613553801828887,2,0,7.925,0,0,1,0,0,1
0,1,0.3486158085932607,0,0,7.8958,0,0,1,0,0,1
1,0,0.2609294751346612,0,0,7.65,0,0,1,0,0,1
1,1,0.36990000810545937,0,0,7.775,0,0,1,0,0,1
0,1,0.4738819992484029,0,0,7.8958,0,0,1,0,0,1
1,0,0.36990000810545937,1,0,24.15,0,0,1,0,1,0
0,1,0.5866215708380309,0,0,52.0,1,0,0,0,0,1
0,0,0.17950645120881875,1,0,14.4542,0,0,1,1,0,0
0,1,0.2734560942001754,0,0,8.05,0,0,1,0,0,1
0,0,0.24840285606914697,1,0,9.825,0,0,1,0,0,1
0,0,0.2108229988726043,0,0,14.4583,0,0,1,1,0,0
0,1,0.2609294751346612,0,0,7.925,0,0,1,0,0,1
0,1,0.880997118877615,0,0,7.75,0,0,1,0,1,0
0,1,0.3611424276587749,1,0,21.0,0,1,0,0,0,1
0,1,0.2985093323312038,0,1,247.5208,1,0,0,1,0,0
0,0,0.02292371288989102,4,2,31.275,0,0,1,0,0,1
0,1,0.2609294751346612,2,0,73.5,0,1,0,0,0,1
0,1,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
0,1,0.4049855943880747,1,0,30.0708,0,1,0,1,0,0
1,0,0.4049855943880747,0,0,13.0,0,1,0,0,0,1
0,1,0.6743079042966303,0,1,77.2875,1,0,0,0,0,1
1,1,0.1481899035450332,1,0,11.2417,0,0,1,1,0,0
0,1,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
1,1,0.2985093323312038,0,0,7.1417,0,0,1,0,0,1
1,0,0.36990000810545937,1,1,22.3583,0,0,1,1,0,0
0,1,0.5615683327070025,0,0,6.975,0,0,1,0,0,1
0,1,0.4112489039208318,0,0,7.8958,0,0,1,1,0,0
0,1,0.24840285606914697,0,0,7.05,0,0,1,0,0,1
0,0,0.5866215708380309,1,0,14.5,0,0,1,0,0,1
1,0,0.3611424276587749,1,0,26.0,0,1,0,0,0,1
0,1,0.311035951396718,0,0,13.0,0,1,0,0,0,1
0,1,0.28598271326568964,0,0,15.0458,0,1,0,1,0,0
1,0,0.23587623700363275,0,2,26.2833,1,0,0,0,0,1
0,1,0.4613553801828887,1,0,53.1,1,0,0,0,0,1
0,1,0.19829637980709008,0,0,9.2167,0,0,1,0,0,1
0,1,0.2985093323312038,0,0,79.2,1,0,0,1,0,0
0,0,0.36990000810545937,0,2,15.2458,0,0,1,1,0,0
1,0,0.2734560942001754,0,0,7.75,0,0,1,0,0,1
1,0,0.2985093323312038,1,0,15.85,0,0,1,0,0,1
0,1,0.23587623700363275,0,0,6.75,0,0,1,0,1,0
0,1,0.22334961793811853,0,0,11.5,0,1,0,0,0,1
0,1,0.23587623700363275,1,1,36.75,0,1,0,0,0,1
1,1,0.33608918952774647,0,0,7.7958,0,0,1,0,0,1
0,0,0.11061004634849055,2,2,34.375,0,0,1,0,0,1
0,1,0.4550920706501316,0,2,26.0,0,1,0,0,0,1
0,1,0.5239884755104598,0,0,13.0,0,1,0,0,0,1
0,1,0.6367280471000877,0,0,12.525,0,1,0,0,0,1
1,0,0.2734560942001754,1,0,66.6,1,0,0,0,0,1
0,1,0.6930978328949017,0,0,8.05,0,0,1,0,0,1
0,1,0.5051985469121885,0,2,14.5,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.3125,0,0,1,0,0,1
0,1,0.6367280471000877,0,1,61.3792,1,0,0,1,0,0
1,0,0.19829637980709008,0,0,7.7333,0,0,1,0,1,0
0,1,0.37366904672428913,0,0,8.05,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,8.6625,0,0,1,0,0,1
0,1,0.36990000810545937,8,2,69.55,0,0,1,0,0,1
0,1,0.5490417136414882,0,1,16.1,0,0,1,0,0,1
1,0,0.49893523737943135,0,0,15.75,0,1,0,0,0,1
0,1,0.32356257046223225,0,0,7.775,0,0,1,0,0,1
0,1,0.2108229988726043,0,0,8.6625,0,0,1,0,0,1
0,1,0.0103970938243768,4,1,39.6875,0,0,1,0,0,1
1,1,0.11061004634849055,0,2,20.525,0,0,1,0,0,1
1,0,0.36990000810545937,0,1,55.0,1,0,0,0,0,1
0,0,0.5615683327070025,1,4,27.9,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,25.925,1,0,0,0,0,1
0,1,0.3486158085932607,0,0,56.4958,0,0,1,0,0,1
0,1,0.7619942377552299,0,0,33.5,1,0,0,0,0,1
0,1,0.04797695102091946,4,1,29.125,0,0,1,0,1,0
1,0,0.0103970938243768,1,1,11.1333,0,0,1,0,0,1
0,1,0.2609294751346612,0,0,7.925,0,0,1,0,0,1
0,1,0.6993611424276588,0,0,30.6958,1,0,0,1,0,0
0,1,0.22334961793811853,1,1,7.8542,0,0,1,0,0,1
0,1,0.36990000810545937,3,1,25.4667,0,0,1,0,0,1
0,0,0.6242014280345735,0,0,28.7125,1,0,0,1,0,0
0,1,0.37366904672428913,0,0,13.0,0,1,0,0,0,1
0,1,0.44882876111737446,0,0,0.0,0,0,1,0,0,1
0,0,0.36990000810545937,8,2,69.55,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,15.05,0,1,0,1,0,0
0,1,0.11061004634849055,4,2,31.3875,0,0,1,0,0,1
1,1,0.0103970938243768,2,1,39.0,0,1,0,0,0,1
1,0,0.04797695102091946,0,2,22.025,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,50.0,1,0,0,0,0,1
1,0,0.36990000810545937,1,0,15.5,0,0,1,0,1,0
1,1,0.5615683327070025,0,0,26.55,1,0,0,0,0,1
0,1,0.49893523737943135,1,1,15.5,0,0,1,0,1,0
0,1,0.44882876111737446,0,0,7.8958,0,0,1,0,0,1
1,0,0.3987222848553176,0,0,13.0,0,1,0,0,0,1
0,1,0.23587623700363275,0,0,13.0,0,1,0,0,0,1
1,0,0.23587623700363275,1,0,7.8542,0,0,1,0,0,1
1,1,0.035450331955405236,1,1,26.0,0,1,0,0,0,1
1,0,0.5490417136414882,0,0,27.7208,1,0,0,1,0,0
1,0,0.7244143805586872,0,0,146.5208,1,0,0,1,0,0
0,1,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
0,1,0.5239884755104598,0,1,8.4042,0,0,1,0,0,1
1,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
0,0,0.2985093323312038,0,0,13.0,0,1,0,0,0,1
0,1,0.3486158085932607,0,0,9.5,0,0,1,0,0,1
0,1,0.36990000810545937,8,2,69.55,0,0,1,0,0,1
0,1,0.423775522986346,0,0,6.4958,0,0,1,0,0,1
0,1,0.5678316422397596,0,0,7.225,0,0,1,1,0,0
1,1,0.22334961793811853,0,0,8.05,0,0,1,0,0,1
0,0,0.02292371288989102,0,1,10.4625,0,0,1,0,0,1
0,1,0.3987222848553176,1,0,15.85,0,0,1,0,0,1
1,1,0.32356257046223225,0,0,18.7875,0,0,1,1,0,0
1,0,0.19829637980709008,0,0,7.75,0,0,1,0,1,0
1,1,0.49893523737943135,0,0,31.0,1,0,0,1,0,0
0,1,0.2985093323312038,0,0,7.05,0,0,1,0,0,1
1,0,0.43630214205186024,0,0,21.0,0,1,0,0,0,1
0,1,0.2734560942001754,0,0,7.25,0,0,1,0,0,1
0,1,0.37366904672428913,0,0,13.0,0,1,0,0,0,1
0,1,0.36990000810545937,1,0,7.75,0,0,1,0,1,0
1,0,0.38619566578980336,1,0,113.275,1,0,0,1,0,0
1,0,0.33608918952774647,0,0,7.925,0,0,1,0,0,1
0,1,0.5239884755104598,1,0,27.0,0,1,0,0,0,1
1,0,0.3987222848553176,0,0,76.2917,1,0,0,1,0,0
0,1,0.37366904672428913,0,0,10.5,0,1,0,0,0,1
1,1,0.19829637980709008,0,0,8.05,0,0,1,0,0,1
0,1,0.33608918952774647,0,0,13.0,0,1,0,0,0,1
0,1,0.6367280471000877,0,0,8.05,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
1,1,0.4738819992484029,1,0,90.0,1,0,0,0,0,1
0,1,0.2734560942001754,0,0,9.35,0,0,1,0,0,1
1,1,0.23587623700363275,0,0,10.5,0,1,0,0,0,1
0,1,0.2546661656019041,0,0,7.25,0,0,1,0,0,1
0,1,0.22334961793811853,0,0,13.0,0,1,0,0,0,1
0,0,0.36990000810545937,3,1,25.4667,0,0,1,0,0,1
1,0,0.43630214205186024,1,0,83.475,1,0,0,0,0,1
0,1,0.3611424276587749,0,0,7.775,0,0,1,0,0,1
0,1,0.7369409996242015,0,0,13.5,0,1,0,0,0,1
1,0,0.06050357008643368,4,2,31.3875,0,0,1,0,0,1
0,1,0.2985093323312038,0,0,10.5,0,1,0,0,0,1
0,0,0.36990000810545937,0,0,7.55,0,0,1,0,0,1
0,1,0.5490417136414882,1,0,26.0,0,1,0,0,0,1
1,0,0.09808342728297632,0,2,26.25,0,1,0,0,0,1
0,1,0.23587623700363275,0,0,10.5,0,1,0,0,0,1
0,1,0.4112489039208318,0,0,12.275,0,1,0,0,0,1
0,0,0.36990000810545937,1,0,14.4542,0,0,1,1,0,0
1,0,0.36990000810545937,1,0,15.5,0,0,1,0,1,0
0,1,0.3611424276587749,0,0,10.5,0,1,0,0,0,1
0,1,0.2734560942001754,0,0,7.125,0,0,1,0,0,1
0,1,0.37366904672428913,0,0,7.225,0,0,1,1,0,0
0,1,0.5490417136414882,2,0,90.0,1,0,0,0,1,0
0,0,0.311035951396718,0,0,7.775,0,0,1,0,0,1
1,0,0.2985093323312038,0,2,14.5,0,1,0,0,0,1
1,1,0.4613553801828887,1,1,52.5542,1,0,0,0,0,1
0,1,0.6743079042966303,1,0,26.0,0,1,0,0,0,1
0,1,0.36990000810545937,0,0,7.25,0,0,1,0,0,1
0,0,0.3611424276587749,1,1,10.4625,0,0,1,0,0,1
0,1,0.7745208568207441,0,0,26.55,1,0,0,0,0,1
0,1,0.37366904672428913,1,0,16.1,0,0,1,0,0,1
0,0,0.5114618564449456,0,2,20.2125,0,0,1,0,0,1
1,0,0.3611424276587749,0,2,15.2458,0,0,1,1,0,0
1,0,0.36990000810545937,0,0,79.2,1,0,0,1,0,0
1,0,0.37366904672428913,0,0,86.5,1,0,0,0,0,1
1,0,0.43630214205186024,0,0,512.3292,1,0,0,1,0,0
1,0,0.6242014280345735,0,1,26.0,0,1,0,0,0,1
0,1,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
1,1,0.035450331955405236,4,2,31.3875,0,0,1,0,0,1
0,1,0.6492546661656019,1,1,79.65,1,0,0,0,0,1
0,1,0.49893523737943135,0,0,0.0,1,0,0,0,0,1
0,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
0,1,0.44882876111737446,0,0,10.5,0,1,0,0,0,1
0,1,0.19829637980709008,4,1,39.6875,0,0,1,0,0,1
1,1,0.311035951396718,1,0,7.775,0,0,1,0,0,1
1,0,0.7244143805586872,0,1,153.4625,1,0,0,0,0,1
1,0,0.43630214205186024,0,0,135.6333,1,0,0,0,0,1
0,1,0.36990000810545937,0,0,31.0,1,0,0,0,0,1
1,1,0.311035951396718,0,0,0.0,0,0,1,0,0,1
1,0,0.5114618564449456,0,1,19.5,0,1,0,0,0,1
0,1,0.4613553801828887,0,1,29.7,1,0,0,1,0,0
1,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
1,0,0.7870474758862583,1,0,77.9583,1,0,0,0,0,1
0,0,0.5615683327070025,0,0,7.75,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,0.0,0,1,0,0,0,1
0,1,0.0855568082174621,4,1,29.125,0,0,1,0,1,0
1,0,0.43630214205186024,1,1,20.25,0,0,1,0,0,1
0,1,0.8121007140172868,0,0,7.75,0,0,1,0,1,0
0,1,0.3486158085932607,0,0,7.8542,0,0,1,0,0,1
0,1,0.19829637980709008,0,0,9.5,0,0,1,0,0,1
1,1,0.23587623700363275,0,0,8.05,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,26.0,1,0,0,0,0,1
0,1,0.4112489039208318,0,0,8.6625,0,0,1,1,0,0
1,1,0.37366904672428913,0,0,9.5,0,0,1,0,0,1
0,1,0.2734560942001754,0,0,7.8958,0,0,1,0,0,1
1,1,0.5239884755104598,0,0,13.0,0,1,0,0,0,1
1,0,0.2734560942001754,0,0,7.75,0,0,1,0,1,0
1,0,0.32356257046223225,0,0,78.85,1,0,0,0,0,1
1,0,0.23587623700363275,1,0,91.0792,1,0,0,1,0,0
0,1,0.44882876111737446,0,0,12.875,0,1,0,1,0,0
0,0,0.2985093323312038,0,0,8.85,0,0,1,0,0,1
0,1,0.2985093323312038,0,0,7.8958,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,27.7208,1,0,0,1,0,0
0,1,0.29224602279844675,0,0,7.2292,0,0,1,1,0,0
0,0,0.02292371288989102,1,2,151.55,1,0,0,0,0,1
1,1,0.36990000810545937,0,0,30.5,1,0,0,0,0,1
1,0,0.6242014280345735,0,1,247.5208,1,0,0,1,0,0
1,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
1,1,0.36990000810545937,2,0,23.25,0,0,1,0,1,0
0,1,0.23587623700363275,0,0,0.0,0,0,1,0,0,1
1,0,0.36990000810545937,0,0,12.35,0,1,0,0,1,0
0,1,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
1,1,0.009394964299135665,1,2,151.55,1,0,0,0,0,1
1,0,0.36990000810545937,0,0,110.8833,1,0,0,1,0,0
1,0,0.2108229988726043,1,0,108.9,1,0,0,1,0,0
0,1,0.37366904672428913,1,0,24.0,0,1,0,1,0,0
1,0,0.37366904672428913,0,0,56.9292,1,0,0,1,0,0
1,0,0.2985093323312038,0,0,83.1583,1,0,0,1,0,0
1,0,0.22334961793811853,2,2,262.375,1,0,0,1,0,0
0,0,0.32356257046223225,1,1,26.0,0,1,0,0,0,1
0,1,0.3486158085932607,0,0,7.8958,0,0,1,0,0,1
0,1,0.536515094575974,1,1,26.25,0,1,0,0,0,1
1,0,0.32356257046223225,0,0,7.8542,0,0,1,0,0,1
1,0,0.2985093323312038,1,0,26.0,0,1,0,0,0,1
0,1,0.6743079042966303,0,0,14.0,0,1,0,0,0,1
1,0,0.38619566578980336,0,2,164.8667,1,0,0,0,0,1
1,0,0.49893523737943135,1,1,134.5,1,0,0,1,0,0
0,1,0.2734560942001754,0,0,7.25,0,0,1,0,0,1
0,1,0.33608918952774647,0,0,7.8958,0,0,1,0,0,1
1,0,0.37366904672428913,0,0,12.35,0,1,0,0,1,0
1,0,0.2734560942001754,1,1,29.0,0,1,0,0,0,1
0,1,0.36990000810545937,8,2,69.55,0,0,1,0,0,1
1,0,0.44882876111737446,0,0,135.6333,1,0,0,1,0,0
0,1,0.7619942377552299,0,0,6.2375,0,0,1,0,0,1
1,0,0.44882876111737446,0,0,13.0,0,1,0,0,0,1
1,0,0.38619566578980336,1,1,20.525,0,0,1,0,0,1
1,0,0.19829637980709008,0,1,57.9792,1,0,0,1,0,0
1,0,0.36990000810545937,2,0,23.25,0,0,1,0,1,0
0,1,0.5678316422397596,0,0,28.5,1,0,0,0,0,1
0,1,0.4738819992484029,0,1,153.4625,1,0,0,0,0,1
0,1,0.19829637980709008,2,0,18.0,0,0,1,0,0,1
1,0,0.36990000810545937,1,0,133.65,1,0,0,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
0,1,0.3611424276587749,1,0,66.6,1,0,0,0,0,1
1,0,0.5114618564449456,0,0,134.5,1,0,0,1,0,0
1,1,0.5615683327070025,0,0,8.05,0,0,1,0,0,1
0,1,0.5615683327070025,0,0,35.5,1,0,0,0,0,1
1,1,0.02292371288989102,1,1,26.0,0,1,0,0,0,1
1,0,0.2985093323312038,3,2,263.0,1,0,0,0,0,1
0,1,0.3486158085932607,0,0,13.0,0,1,0,0,0,1
0,1,0.311035951396718,0,0,13.0,0,1,0,0,0,1
0,1,0.44882876111737446,0,0,13.0,0,1,0,0,0,1
1,0,0.2985093323312038,0,0,13.0,0,1,0,0,0,1
1,0,0.49893523737943135,0,0,13.0,0,1,0,0,0,1
1,0,0.36990000810545937,1,0,16.1,0,0,1,0,0,1
1,1,0.035450331955405236,1,1,15.9,0,0,1,0,0,1
0,1,0.5239884755104598,0,0,8.6625,0,0,1,0,0,1
0,1,0.28598271326568964,0,0,9.225,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,35.0,1,0,0,0,0,1
0,1,0.18576976074157586,1,1,7.2292,0,0,1,1,0,0
0,1,0.311035951396718,1,0,17.8,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.225,0,0,1,1,0,0
0,1,0.3486158085932607,0,0,9.5,0,0,1,0,0,1
1,0,0.2734560942001754,0,1,55.0,1,0,0,0,0,1
0,0,0.4738819992484029,0,0,13.0,0,1,0,0,0,1
1,0,0.36990000810545937,0,0,7.8792,0,0,1,0,1,0
1,0,0.36990000810545937,0,0,7.8792,0,0,1,0,1,0
0,1,0.49893523737943135,1,4,27.9,0,0,1,0,0,1
0,1,0.3611424276587749,1,0,27.7208,0,1,0,1,0,0
0,0,0.5615683327070025,0,1,14.4542,0,0,1,1,0,0
0,1,0.43630214205186024,0,0,7.05,0,0,1,0,0,1
0,1,0.36990000810545937,1,0,15.5,0,0,1,0,1,0
0,1,0.37366904672428913,0,0,7.25,0,0,1,0,0,1
1,0,0.7494676186897157,1,0,75.25,1,0,0,1,0,0
1,0,0.36990000810545937,0,0,7.2292,0,0,1,1,0,0
1,0,0.36990000810545937,0,0,7.75,0,0,1,0,1,0
1,0,0.2985093323312038,0,0,69.3,1,0,0,1,0,0
1,1,0.311035951396718,1,0,55.4417,1,0,0,1,0,0
0,1,0.22334961793811853,1,0,6.4958,0,0,1,0,0,1
0,1,0.23587623700363275,0,0,8.05,0,0,1,0,0,1
0,1,0.2734560942001754,0,0,135.6333,1,0,0,1,0,0
0,0,0.035450331955405236,3,1,21.075,0,0,1,0,0,1
1,0,0.36990000810545937,1,0,82.1708,1,0,0,1,0,0
1,0,0.2734560942001754,0,0,7.25,0,0,1,0,0,1
0,1,0.33608918952774647,0,2,211.5,1,0,0,1,0,0
0,1,0.24840285606914697,0,0,4.0125,0,0,1,1,0,0
0,1,0.23587623700363275,0,0,7.775,0,0,1,0,0,1
1,0,0.5239884755104598,0,0,227.525,1,0,0,1,0,0
1,0,0.0103970938243768,0,2,15.7417,0,0,1,1,0,0
0,1,0.3987222848553176,0,0,7.925,0,0,1,0,0,1
1,0,0.43630214205186024,1,0,52.0,1,0,0,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
0,1,0.22334961793811853,0,0,73.5,0,1,0,0,0,1
0,1,0.0103970938243768,5,2,46.9,0,0,1,0,0,1
1,0,0.44882876111737446,0,0,13.0,0,1,0,0,0,1
0,1,0.36990000810545937,0,0,7.7292,0,0,1,0,1,0
1,0,0.2108229988726043,0,0,12.0,0,1,0,1,0,0
1,1,0.44882876111737446,1,2,120.0,1,0,0,0,0,1
1,1,0.2609294751346612,0,0,7.7958,0,0,1,0,0,1
0,1,0.3486158085932607,2,0,7.925,0,0,1,0,0,1
1,0,0.28598271326568964,1,0,113.275,1,0,0,1,0,0
1,0,0.2985093323312038,0,2,16.7,0,0,1,0,0,1
0,1,0.2734560942001754,0,0,7.7958,0,0,1,0,0,1
0,0,0.38619566578980336,0,0,7.8542,0,0,1,0,0,1
0,1,0.5740949517725167,0,0,26.0,0,1,0,0,0,1
0,1,0.28598271326568964,0,0,10.5,0,1,0,0,0,1
1,0,0.3486158085932607,0,0,12.65,0,1,0,0,0,1
1,1,0.48640861831391713,0,0,7.925,0,0,1,0,0,1
0,1,0.32356257046223225,0,0,8.05,0,0,1,0,0,1
0,0,0.2609294751346612,1,0,9.825,0,0,1,0,0,1
0,1,0.3486158085932607,1,0,15.85,0,0,1,0,0,1
0,0,0.24840285606914697,0,0,8.6625,0,0,1,0,0,1
0,1,0.423775522986346,1,0,21.0,0,1,0,0,0,1
0,1,0.6367280471000877,0,0,7.75,0,0,1,0,0,1
1,1,0.035450331955405236,1,1,18.75,0,1,0,0,0,1
0,1,0.2609294751346612,0,0,7.775,0,0,1,0,0,1
0,0,0.36990000810545937,3,1,25.4667,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,7.8958,0,0,1,0,0,1
0,1,0.36990000810545937,0,0,6.8583,0,0,1,0,1,0
1,0,0.4112489039208318,1,0,90.0,1,0,0,0,1,0
0,1,0.36990000810545937,0,0,0.0,0,1,0,0,0,1
1,1,0.5490417136414882,0,0,7.925,0,0,1,0,0,1
0,0,0.36990000810545937,0,0,8.05,0,0,1,0,0,1
